Key,Description,Standard
"SAY.Flowchart.44.Иван,,""""""Я был уверен, что смогу заночевать в палатке на берегу... {w} Но, похоже, что сегодня мне придется спать на лавочке или где-нибудь в кустах."""""""
"SAY.Flowchart.45.???,,""""""Неприятная ситуация… {wi} Слушай, ты можешь переночевать в моем доме. У меня много места. Да и вообще мне нравится знакомиться с новыми людьми. {w} В нашу деревню нечасто приезжают гости."""""""
"SAY.Flowchart.46.Иван,,""""""Я был бы невероятно благодарен тебе! Но ты точно уверена, что готова пустить к себе домой человека, которого знаешь всего несколько минут?"""""""
"SAY.Flowchart.47.???,,""""""Все в порядке. Мне кажется, что ты хороший человек. Далеко не каждый готов уехать далеко от дома и провести ночь вне теплой кровати, чтобы просто отдохнуть и насладиться природой. """""""
"SAY.Flowchart.60.???,,""""""Думаю, нам найдется о чем поговорить."""""""
"SAY.Flowchart.48.???,,""""""Кстати, я ведь не назвала своего имени! {w} Меня зовут Лена."""""""
"SAY.Flowchart.49.Лена,,""""""Я живу неподалеку. Пойдем."""""""
SAY.Flowchart.68.,,***
"SAY.Flowchart.69.Лена,,""""""Вот мы и пришли."""""""
SAY.Flowchart.77.,,Мы остановились возле двухэтажного особняка. Никогда прежде не бывал в подобных местах.
"SAY.Flowchart.78.Иван,,""""""Это здесь ты живешь? Не ожидал, что это будет такой роскошный дом."""""""
"SAY.Flowchart.79.Лена,,""""""Это дом моих родителей. {w} На самом деле, мне кажется, он великоват для меня одной."""""""
"SAY.Flowchart.80.Лена,,""""""Ну ладно. Чего тут стоять. Пойдем."""""""
SAY.Flowchart.83.,,***
"SAY.Flowchart.87.,,""Мы вошли в особняк. Перед моими глазами предстал богато обставленный интерьер, будто я попал в дом аристократа. {w} Кто же её родители?"""
"SAY.Flowchart.88.Иван,,""""""Слушай, твой дом выглядит просто великолепно. Не могу поверить. Еще недавно я собирался ночевать на улице, а теперь оказался в настоящем особняке."""""""
"SAY.Flowchart.89.Лена,,""""""Да ладно тебе. Просто чувствуй себя как дома."""""""
SAY.Flowchart.92.,,Легко сказать…
"SAY.Flowchart.94.Лена,,""""""Можешь оставить вещи здесь."""""""
SAY.Flowchart.93.,,***
"SAY.Flowchart.98.Лена,,""""""А теперь идем на кухню. Ты ведь голоден?"""""""
"SAY.Flowchart.99.,,""С приходом сюда я и забыл о том, что хотел чего-ниубдь поесть."""
"SAY.Flowchart.100.Иван,,""""""Если честно, то я весь день не ел."""""""
"SAY.Flowchart.101.Лена,,""""""Вот сейчас и накормлю тебя."""""""
"SAY.Flowchart.110.,,""Мы зашли на кухню. Как и ожидалось здесь все было гораздо роскошнее, чем у меня дома..."""
"SAY.Flowchart.111.Лена,,""""""Могу сделать сэндвичи, омлет, салат… {w} А еще у меня есть запечённая рыба. Что будешь?"""""""
MENU.Flowchart.112,,Сэндвичи
MENU.Flowchart.114,,Омлет с салатом
MENU.Flowchart.115,,Рыбу
"SAY.Flowchart.116.Иван,,""""""Давай сэндвичи."""""""
"SAY.Flowchart.119.Лена,,""""""Хорошо. Их я приготовлю быстро."""""""
"SAY.Flowchart.117.Иван,,""""""Если тебе не сложно, то омлет с салатом."""""""
"SAY.Flowchart.120.Лена,,""""""Хорошо. Это займёт буквально 5 минут."""""""
"SAY.Flowchart.118.Иван,,""""""Я люблю рыбу, поэтому давай её."""""""
"SAY.Flowchart.121.Лена,,""""""Рыба на ужин – лучший выбор."""""""
SAY.Flowchart.128.,,***
"SAY.Flowchart.129.Лена,,""""""Очень вкусно. Большое спасибо!"""""""
"SAY.Flowchart.132.Лена,,""""""Да незачто. """""""
"SAY.Flowchart.133.Лена,,""""""Что теперь? Чай, кофе? У меня к ним и сладости есть."""""""
MENU.Flowchart.134,,Чай
MENU.Flowchart.139,,Кофе
MENU.Flowchart.140,,Ничего
"SAY.Flowchart.136.Иван,,""""""Я люблю чай. Особенно зеленый."""""""
"SAY.Flowchart.137.Лена,,""""""Правда? Я тоже его обожаю. У меня есть 12 разных сортов. Дам тебе попробовать своего любимого."""""""
"SAY.Flowchart.138.Иван,,""""""Обожаю кофе. Особенно с молоком."""""""
"SAY.Flowchart.141.Лена,,""""""Хорошо. Молоко у меня тоже есть."""""""
"SAY.Flowchart.142.Иван,,""""""Спасибо, но я на ночь не пью ничего с кофеином. Потом плохо сплю."""""""
"SAY.Flowchart.143.Лена,,""""""Вот как? Ну ладно, давай я тебе хоть сока налью."""""""
SAY.Flowchart.150.,,***
"SAY.Flowchart.157.Лена,,""""""Ну что ж. Рассказывай."""""""
"SAY.Flowchart.158.Иван,,""""""О чём?"""""""
"SAY.Flowchart.159.Лена,,""""""Как это о чём? Расскажи о себе, откуда приехал…"""""""
"SAY.Flowchart.160.Иван,,""""""Нууу… Тут и рассказывать особо не о чем. Приехал из столицы. Учёбу забросил, поэтому сейчас работаю в офисе. Хотелось бы заняться чем-нибудь другим, но городской темп жизни просто не позволяет мне этого сделать…"""""""
SAY.Flowchart.161.Иван,,…
"SAY.Flowchart.162.Иван,,""""""Я так устал от всего этого, поэтому и решил отдохнуть подальше от города. Даже палатку с собой взял. Думал, что заночую возле озера, но, видимо, не получится."""""""
"SAY.Flowchart.163.Лена,,""""""Не переживай ты так. Завтра мы обязательно сходим к озеру. Я тебе и остальную нашу деревушку могу показать. """""""
"SAY.Flowchart.164.Лена,,""""""А что насчет твоей городской жизни, то ты, главное, не унывай. У тебя еще вся жизнь впереди. Вокруг столько возможностей, ты даже не представляешь."""""""
"SAY.Flowchart.165.Лена,,""""""Вот к примеру, моя бабушка очень хотела стать врачом. А у нас-то тут ни больниц полноценных, ни университетов нет. Но она решилась поехать в столицу и осуществлять свою мечту там. И знаешь что? Она в итоге стала главным врачом в одной из лучших больниц. А затем и вовсе открыла свою клинику."""""""
"SAY.Flowchart.166.Лена,,""""""Ей, правда, тоже не сильно нравился город. Потому на старости лет она вернулась сюда."""""""
"SAY.Flowchart.167.,,""Кажется, я догадываюсь, откуда взялся особняк."""
"SAY.Flowchart.168.Лена,,""""""Поэтому помни, что всё зависит от тебя. Главное – поставить себе цель и идти к ней до конца."""""""
"SAY.Flowchart.169.Иван,,""""""Спасибо. Я запомню твои слова."""""""
"SAY.Flowchart.170.Иван,,""""""Может немного о себе расскажешь?"""""""
"SAY.Flowchart.171.Лена,,""""""Вообще, я больше люблю слушать истории других. Не знаю, что мне и рассказать-то."""""""
"SAY.Flowchart.172.Лена,,""""""Ну что ж... Наверное, тебе интересно, почему я живу в таком богатом доме. Не волнуйся, он был построен на деньги, заработанные честным трудом. Как я уже сказала, мне он достался от родителей. А им его подарила бабушка."""""""
"SAY.Flowchart.173.Иван,,""""""А твои родители…"""""""
"SAY.Flowchart.174.Лена,,""""""С ними все в порядке. Они вместе поехали в отпуск на неделю. Я решила остаться, чтобы присматривать за домом. Да и вообще, я не особо-то устала, чтобы отправляться в отпуск. Сейчас самостоятельно изучаю агрономию и вскоре планирую поступать в университет."""""""
"SAY.Flowchart.175.Иван,,""""""Для девушки у тебя необычные интересы."""""""
"SAY.Flowchart.176.Лена,,""""""Нуу я… {w} просто люблю природу."""""""
"SAY.Flowchart.177.Иван,,""""""Да ладно, я тоже ее люблю, хотя в городе природы осталось крайне мало. И когда уже человечество поймёт, что эко-архитектура лучше хай-тека."""""""
"SAY.Flowchart.178.Лена,,""""""Ахахах. Так ты архитектурой интересуешься?"""""""
"SAY.Flowchart.179.Иван,,""""""Да я просто… {w} волнуюсь о будущем всего человечества."""""""
"SAY.Flowchart.180.Лена,,""""""Это радует. Значит ты правда хороший человек."""""""
"SAY.Flowchart.181.Иван,,""""""Самому мне сложно о себе такое сказать."""""""
"SAY.Flowchart.182.Лена,,""""""Нет, правда. Просто будь поувереннее и запомни, что твоя жизнь только твоя."""""""
"SAY.Flowchart.183.Иван,,""""""И еще раз спасибо. Думаю, теперь я чувствую себя немного увереннее."""""""
"SAY.Flowchart.184.Лена,,""""""Вот и хорошо. {w} Вижу, что ты уже всё допил. Давай я уберу посуду."""""""
"SAY.Flowchart.185.Лена,,""""""Кстати, я хотела тебя попросить о помощи. """""""
"SAY.Flowchart.186.Лена,,""""""В последнее время дома не работает свет на втором этаже. Я не особо разбираюсь в таких вещах, но думаю, что причина может быть в нашем старом электрощитке. Может быть ты сможешь что-то с этим сделать?"""""""
"SAY.Flowchart.187.Иван,,""""""Честно говоря, я тоже не эксперт, но у себя дома когда-то приходилось чинить проводку. Попробую что-нибудь с этим сделать."""""""
"SAY.Flowchart.188.Лена,,""""""Большое спасибо! Идём. Я покажу тебе электрощиток."""""""
SAY.Flowchart.196.,,***
"SAY.Flowchart.197.Лена,,""""""Вот мы и пришли."""""""
"SAY.Flowchart.198.,,""""""Если нужно, могу принести фонарик."""""""
"SAY.Flowchart.199.Иван,,""""""Было бы неплохо. А то тут совсем ничего не разглядеть."""""""
SAY.Flowchart.200.,,Лена ушла.
"SAY.Flowchart.201.,,""Ну и что же мне с этим делать? Этот щиток гораздо больше того, что стоит у меня дома."""""""
SAY.Flowchart.202.,,Хммм…
"SAY.Flowchart.203.,,""Если не ошибаюсь, то все рычаги автоматов должны быть включены. Здесь же есть выключенные."""
MENU.Flowchart.212,,Включить все рычаги\n
MENU.Flowchart.213,,Выключить все рычаги
SAY.Flowchart.216.,,Ладно. Просто попробую включить все рычаги.
SAY.Flowchart.219.,,Я разом включил три рычага. 
SAY.Flowchart.220.,,Что такое?! Неужели защита сработала?
SAY.Flowchart.217.,,Сначала стоит попробовать их выключить.
SAY.Flowchart.218.,,Стоп... Но ведь у Лены теперь свет пропал. Надо поскорее включить его обратно.
SAY.Flowchart.223.,,Я попытался вслепую включить свет в доме. Иии… {w} мне это удалось.
"SAY.Flowchart.224.,,""Да уж… Похоже, тут серьезные проблемы с проводкой."""
SAY.Flowchart.474.???,,ААААААААААААА...!!!
"SAY.Flowchart.225.Иван,,""""""Лена?! Что случилось?!"""""""
"SAY.Flowchart.226.,,""Не нравится мне это. Лучше подняться и проверить, что там случилось."""
MENU.Flowchart.245,,Проверить кухню.
MENU.Flowchart.246,,Подняться на второй этаж.
SAY.Flowchart.243.,,Стоит сперва осмотреть кухню.
SAY.Flowchart.244.,,Лены здесь нет…
MENU.Flowchart.249,,Пойти на 2-й этаж.
MENU.Flowchart.250,,Взять нож.
SAY.Flowchart.253.,,Я поднялся по мраморной лестнице на второй этаж.
SAY.Flowchart.261.,,И снова крик… В этот раз я понял откуда кричат.
SAY.Flowchart.262.,,Я свернул по коридору налево.
"SAY.Flowchart.263.,,""Моему взору предстало отвратительное зрелище. {wi} Существо, похожее на смесь человека и таракана, ломилось в дверь. Размером оно было с собаку, а вместо обычной тараканьей головы была человеческая."""
SAY.Flowchart.264.Иван,,Что за херня!!!
SAY.Flowchart.265.Иван,,Откуда вылезла эта тварь?!
SAY.Flowchart.266.,,Существо повернулось в мою сторону.
"SAY.Flowchart.268.,,""Вместо человеческого лица я увидел дыры на месте глаз и кожу, покрытую неким подобием хитина."""
SAY.Flowchart.267.Иван,,Какого... {w} Не приближайся!
SAY.Flowchart.269.,,Твою ж мать! И что мне теперь делать?!
MENU.Flowchart.270,,Атаковать
MENU.Flowchart.271,,Бежать
"SAY.Flowchart.252.,,""Нехорошо в чужом доме вещи брать без спросу. Но я еще не знаю, что случилось. На всякий случай прихвачу с собой нож."""
SAY.Flowchart.371.,,Нужно бежать. Я не знаю на что способно это существо. Лучше не дать ему подойти близко.
SAY.Flowchart.372.,,Чёрт! Оно бежит за мной. {wi} И оно догоняет!
SAY.Flowchart.373.,,Побегу на первый этаж!
"SAY.Flowchart.375.,,""Оно уже близко. Похоже, придётся отбиваться."""
"SAY.Flowchart.378.,,""Когда тварь прыгнула в мою сторону, я пнул ее со всей силы ногой. Тело скатилось вниз по лестнице. {wi} Это существо убежало в сторону кухни…"""
"SAY.Flowchart.379.Иван,,""""""Твою ж мать! Это было страшно. Еще чуть-чуть и оно бы меня зацепило."""""""
"SAY.Flowchart.380.Лена,,""""""Иван? С тобой всё в порядке?"""""""
"SAY.Flowchart.382.,,""Лена стояла на верхней ступени. Судя по выражению на лице, она в шоке. {w} Как и я..."""
"SAY.Flowchart.383.Иван,,""""""Да. Я в порядке, но, похоже, что тварь сбежала."""""""
"SAY.Flowchart.384.Лена,,""Я рада, что ты в порядке!"""
"SAY.Flowchart.386.Лена,,""""""Но ты говоришь, что оно сбежало? То есть это существо всё еще в доме?"""""""
"SAY.Flowchart.388.Иван,,""""""Похоже на то. {w} Слушай, нам нельзя медлить! Вдруг оно снова нападет."""""""
"SAY.Flowchart.389.Иван,,""""""Нужно скорее позвать помощь. Хотя я даже не знаю, кто может помочь справиться с таким… {wi} Давай хотя бы позвоним в полицию."""""""
"SAY.Flowchart.390.Лена,,""""""С полицией у нас в деревне проблемно… {wi} Давай лучше сходим к охраннику возле озера. Он придёт гораздо быстрее."""""""
"SAY.Flowchart.391.Иван,,""Ну что ж... {wi} Выбора нет. Давай позовём охранника. {wi} Даже не представляю, как мы объясним ему ситуацию."""
"SAY.Flowchart.392.Лена,,""""""Идём скорее. Мне страшно оставаться здесь."""""""
"SAY.Flowchart.394.Иван,,""""""Да, пойдём."""""""
SAY.Flowchart.282.,,Я взял в руки нож и устремился прямо на эту тварь.
SAY.Flowchart.283.,,Что я делаю?
SAY.Flowchart.284.,,Вдруг оно просто убьёт меня?
"SAY.Flowchart.285.,,""Но если я ничего не сделаю, тогда точно убьёт!"""
SAY.Flowchart.286.Иван,,Получай!
SAY.Flowchart.287.,,Я проткнул его голову…
SAY.Flowchart.288.Иван,,Буэээ… 
SAY.Flowchart.289.,,Как же это отвратительно!
"SAY.Flowchart.290.Иван,,""""""Какая мерзость! Я весь в крови этой твари!"""""""
"SAY.Flowchart.291.Лена,,""""""С тобой… {wi} всё в порядке?"""""""
"SAY.Flowchart.293.Иван,,""""""Со мной да, а вот у него теперь дырка в голове."""""""
"SAY.Flowchart.294.Иван,,""""""Ты сама-то как? Оно не успело тебя зацепить."""""""
"SAY.Flowchart.295.Лена,,""""""Спасибо, всё хорошо."""""""
"SAY.Flowchart.296.Иван,,""""""Эта туша ужасно воняет. Кажется, сейчас меня снова стошнит…"""""""
"SAY.Flowchart.297.Лена,,""""""… {wi} Возможно, меня тоже…"""""""
SAY.Flowchart.299.,,***
"SAY.Flowchart.302.Лена,,""""""Что это вообще было?!"""""""
"SAY.Flowchart.303.Иван,,""""""Хотелось бы мне и самому знать."""""""
"SAY.Flowchart.304.Иван,,""""""Слушай, нельзя тут сидеть. Вдруг он тут не один. """""""
"SAY.Flowchart.305.Иван,,""""""Нужно позвать кого-нибудь. Может обратимся в полицию?"""""""
"SAY.Flowchart.306.Лена,,""""""С этим будут проблемы. В нашей деревне нет полицейского участка. Придётся ждать, когда они приедут из города. Это займёт не меньше часа."""""""
SAY.Flowchart.309.Лена,,…
"SAY.Flowchart.310.Лена,,""""""Слушай, давай позовём охранника, смотрящего за озером."""""""
"SAY.Flowchart.311.Иван,,""""""Это лучше, чем ничего. Но как мы объясним произошедшее?"""""""
"SAY.Flowchart.313.Лена,,""""""Думаю, он мне поверит. Я с ним немного знакома. {wi} В конце концов, просто покажем ему тело."""""""
"SAY.Flowchart.314.Иван,,""""""Хорошо, идём. {wi} Только смотри в оба. Вдруг выскочит еще один такой же."""""""
"SAY.Flowchart.315.Лена,,""""""Но тогда ведь ты меня защитишь?"""""""
SAY.Flowchart.320.,,Я побежал на эту тварь с голыми руками.
SAY.Flowchart.321.,,Что я делаю?
SAY.Flowchart.322.,,Вдруг оно просто убьёт меня?
"SAY.Flowchart.323.,,""Но если я ничего не сделаю, тогда точно убьёт!"""
SAY.Flowchart.324.Иван,,ААААА!
"SAY.Flowchart.325.,,""Я принялся пинать эту тварь ногами, но таракан оказался проворным."""
"SAY.Flowchart.326.Иван,,""""""Получай!"""""""
"SAY.Flowchart.328.Иван,,""""""Ай!"""""""
SAY.Flowchart.327.,,Он укусил меня.
SAY.Flowchart.329.,,Тут к таракану подошла Лена и огрела его стулом по голове.
"SAY.Flowchart.330.,,""Похоже, таракан мертв."""
"SAY.Flowchart.331.Лена,,""""""У тебя кровь идёт!"""""""
"SAY.Flowchart.333.Иван,,""""""Я заметил! Чёрт, как же больно!"""""""
"SAY.Flowchart.334.Лена,,""""""Идём в ванную! Там аптечка есть."""""""
"SAY.Flowchart.335.Иван,,""""""Пойдём скорее, пока я тут не откинулся."""""""
"SAY.Flowchart.337.Иван,,""Место укуса на руке ужасно болело. Меня как-то раз кусала собака, но это гораздо больнее. Такое чувство, будто мне вскрыли руку ножом, а затем прошлись по ране раскалённым утюгом."""
"SAY.Flowchart.338.Иван,,""В глазах всё плывёт, но похоже, что мы уже на месте."""
"SAY.Flowchart.341.Лена,,""""""Держись! Сейчас я промою твою рану и наложу повязку со спиртом."""""""
"SAY.Flowchart.342.Иван,,""""""Ааааа!!!"""""""
SAY.Flowchart.343.,,Стало еще больнее!
"SAY.Flowchart.344.Лена,,""""""Терпи. Еще немного."""""""
SAY.Flowchart.345.,,В глазах всё потемнело…
SAY.Flowchart.347.,,...\n
SAY.Flowchart.349.Лена,,Иван! {wi} Иван! 
"SAY.Flowchart.350.Иван,,""""""А… что такое?"""""""
"SAY.Flowchart.351.Лена,,""""""Слава Богу, ты в порядке! Похоже, ты потерял сознание от боли."""""""
"SAY.Flowchart.352.Иван,,""""""Да уж… Рука и сейчас болит, но уже хоть не жжёт как раньше."""""""
"SAY.Flowchart.353.Лена,,""""""Кровь больше не идёт. Ты будешь в порядке."""""""
"SAY.Flowchart.354.Иван,,""""""Надеюсь на это…"""""""
"SAY.Flowchart.355.Иван,,""""""Что это вообще была за тварь?!"""""""
"SAY.Flowchart.356.Лена,,""""""Понятия не имею. Я пошла в свою комнату за фонариком. И тут услышала, что кто-то поднимается по лестнице. Но звук шагов был нечеловеческий."""""""
"SAY.Flowchart.357.Лена,,""""""А потом из-за угла выбежало это существо и устремилось ко мне. Я сильно испугалась и закрылась в спальне."""""""
"SAY.Flowchart.358.Иван,,""""""Любой-бы на твоём месте испугался… Но ты еще молодец. Держишь себя в руках."""""""
"SAY.Flowchart.359.Лена,,""""""Мне было очень страшно. Но, когда я услышала звуки схватки, поняла, что ты пришёл. Мне сразу стало легче, и, услышав твой крик, я больше не могла сидеть на месте и решилась помочь."""""""
"SAY.Flowchart.360.Иван,,""""""Спасибо."""""""
"SAY.Flowchart.361.Лена,,""""""Это тебе спасибо! Если бы ты бросил меня тут одну, не знаю, чтобы я делала."""""""
"SAY.Flowchart.362.Иван,,""""""В конце концов, мы разобрались с ним. Но что это была за тварь? Похоже на таракана, но с человеческой головой. Еще и такой огромный."""""""
"SAY.Flowchart.363.Лена,,""""""Я и сама не знаю. Мне прихолось много изучать биологию, но там ни слова нет о таких насекомых. Членистоногие таких размеров водились разве что во времена динозавров."""""""
"SAY.Flowchart.364.Лена,,""""""Да и вообще, это трудно назвать насекомым!"""""""
"SAY.Flowchart.365.Иван,,""""""Да уж. Главное сейчас успокоиться и решить, что делать дальше."""""""
"SAY.Flowchart.366.Иван,,""""""Думаю, стоит сообщить в полицию."""""""
"SAY.Flowchart.367.Лена,,""""""С полицией у нас здесь всё сложно… Можем обратиться к охраннику на пляже. К нему идти недалеко."""""""
"SAY.Flowchart.368.Иван,,""""""Действительно. У вас тут настоящая деревня. Даже в полицию не обратишься."""""""
"SAY.Flowchart.369.Иван,,""""""В общем, идём отсюда поскорее. Вдруг эта тварь тут не одна."""""""
SAY.Flowchart.414.,,Мы вышли на улицу и быстро зашагали в сторону озера.
"SAY.Flowchart.415.,,""На улице маловато фонарей, но луна хорошо освещает всё вокруг."""
"SAY.Flowchart.417.Иван,,""""""Похоже, я сегодня так и не смогу выспаться…"""""""
"SAY.Flowchart.416.Лена,,""""""Ты не единственный, кому сегодня тяжело. {wi} Если честно, я боюсь возвращаться в дом."""""""
"SAY.Flowchart.418.Лена,,""""""Может пойдём быстрее?"""""""
"SAY.Flowchart.419.Иван,,""""""Мы, конечно, можем побежать, но лучше приберечь силы. Еще неизвестно, что вообще здесь происходит."""""""
"SAY.Flowchart.420.Лена,,""""""Ладно. Ты прав."""""""
SAY.Flowchart.424.,,Вдалеке уже виднелось озеро.
SAY.Flowchart.425.,,***
"SAY.Flowchart.427.Иван,,""""""Вот мы и на месте. Где этот охранник?"""""""
"SAY.Flowchart.430.Лена,,""""""Смотри. Там кто-то идёт по дороге. {wi} Похоже, это он!"""""""
"SAY.Flowchart.432.Лена,,""""""Здравствуйте"
"!""""\n"""
"SAY.Flowchart.436.Охранник,,""""""Лена? Что ты здесь делаешь в такое время? {wi }И что это за человек? Не припомню, чтобы у нас жил такой."""""""
"SAY.Flowchart.437.Лена,,""""""Это Иван. """""""
"SAY.Flowchart.438.Иван,,""""""Здравствуйте!"""""""
"SAY.Flowchart.439.Лена,,""""""Он приехал сюда отдохнуть на выходные. Мы недавно познакомились, но я уже поняла, что он хороший и надежный человек."""""""
"SAY.Flowchart.440.Иван,,""""""Ты меня переоцениваешь…"""""""
"SAY.Flowchart.441.Лена,,""""""Что важнее – у меня в доме завелось какое-то страшное существо."""""""
"SAY.Flowchart.445.Лена,,""""""Оно уже мертво, но я боюсь, что там могут быть еще такие."""""""
"SAY.Flowchart.447.,,""""""Оно всё еще где-то в доме. Мне страшно возвращаться туда."""""""
"SAY.Flowchart.448.Охранник,,""""""Хммм… И что же это за существо такое?"""""""
"SAY.Flowchart.450.Иван,,""""""Это был огромный жук, вроде таракана. Но голова у него была похожа на человеческую."""""""
"SAY.Flowchart.451.Охранник,,""""""..."""""""
"SAY.Flowchart.452.Иван,,""""""Я знаю, что звучит очень глупо, но мы вдвоём его видели. Пожалуйста, помогите нам с этим."""""""
"SAY.Flowchart.453.Охранник,,""""""Да, звучит крайне сомнительно. Я бы не поверил, если бы не знал Лену. Вряд ли она станет выдумывать. """""""
"SAY.Flowchart.454.Охранник,,""""""И галлюцинацией это не назовешь, если вы вдвоём его видели…"""""""
"SAY.Flowchart.455.Охранник,,""""""Ладно, идём. Покажете мне этого жука. В крайнем случае, у меня при себе есть оружие."""""""
"SAY.Flowchart.456.Лена,,""""""Спасибо большое! Мы бы вызвали полицию, но вы и сами знаете, что их слишком долго придётся ждать."""""""
SAY.Flowchart.462.,,***
SAY.Flowchart.463.,,Вот мы и вернулись. 
"SAY.Flowchart.464.,,""Честно говоря, мне бы очень не хотелось заходить в дом, но ничего не поделать. Лена приютила меня. Я не могу ее бросить."""
SAY.Flowchart.467.,,C этого момента стоит быть начеку.
SAY.Flowchart.468.,,Продолжение следует...
CHARACTER.Охранник,,Охранник
CHARACTER.???,,???
CHARACTER.Лена,,Лена
CHARACTER.Иван,,Иван
